resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,fileName
109,1095,20,117,5,13,9,9,9,0,24,+30.218,1841525,4,1:15.451,1,sprint_results.csv
110,1095,842,213,10,12,10,10,10,0,24,+34.170,1845477,3,1:15.290,1,sprint_results.csv
111,1095,817,1,3,14,11,11,11,0,24,+39.395,1850702,5,1:15.385,1,sprint_results.csv
112,1095,854,210,47,20,12,12,12,0,24,+41.159,1852466,5,1:15.771,1,sprint_results.csv
113,1095,855,51,24,17,13,13,13,0,24,+41.763,1853070,7,1:15.765,1,sprint_results.csv
114,1095,822,51,77,18,14,14,14,0,24,+42.338,1853645,8,1:15.980,1,sprint_results.csv
115,1095,852,213,22,19,15,15,15,0,24,+50.306,1861613,4,1:16.413,1,sprint_results.csv
116,1095,840,117,18,15,16,16,16,0,24,+50.700,1862007,4,1:15.425,1,sprint_results.csv
117,1095,839,214,31,6,17,17,17,0,24,+51.756,1863063,5,1:16.097,1,sprint_results.csv
118,1095,4,214,14,7,18,18,18,0,24,+53.985,1865292,5,1:14.764,1,sprint_results.csv
119,1095,849,3,6,16,19,19,19,0,24,+1:16.850,1888157,4,1:16.525,1,sprint_results.csv
120,1095,848,3,23,11,\N,R,20,0,12,\N,\N,4,1:15.998,31,sprint_results.csv
121,1101,815,9,11,2,1,1,1,8,17,33:17.667,1997667,11,1:43.616,1,sprint_results.csv
122,1101,844,6,16,1,2,2,2,7,17,+4.463,2002130,12,1:43.646,1,sprint_results.csv
123,1101,830,9,1,3,3,3,3,6,17,+5.065,2002732,10,1:43.723,1,sprint_results.csv
124,1101,847,131,63,4,4,4,4,5,17,+3.467,2001134,10,1:44.409,1,sprint_results.csv
125,1101,832,6,55,5,5,5,5,4,17,+10.388,2008055,11,1:44.398,1,sprint_results.csv
126,1101,4,117,14,8,6,6,6,3,17,+11.613,2009280,12,1:44.544,1,sprint_results.csv
127,1101,1,131,44,6,7,7,7,2,17,+4.890,2002557,8,1:44.601,1,sprint_results.csv
128,1101,840,117,18,9,8,8,8,1,17,+18.417,2016084,14,1:44.855,1,sprint_results.csv
129,1101,848,3,23,7,9,9,9,0,17,+21.757,2019424,10,1:44.915,1,sprint_results.csv
130,1101,857,1,81,11,10,10,10,0,17,+22.851,2020518,8,1:44.776,1,sprint_results.csv
131,1101,825,210,20,13,11,11,11,0,17,+27.990,2025657,14,1:45.349,1,sprint_results.csv
132,1101,855,51,24,14,12,12,12,0,17,+34.602,2032269,16,1:45.766,1,sprint_results.csv
133,1101,842,214,10,17,13,13,13,0,17,+36.918,2034585,12,1:45.883,1,sprint_results.csv
134,1101,856,213,21,18,14,14,14,0,17,+41.626,2039293,17,1:45.768,1,sprint_results.csv
135,1101,807,210,27,12,15,15,15,0,17,+48.587,2046254,8,1:45.971,1,sprint_results.csv
136,1101,822,51,77,15,16,16,16,0,17,+49.917,2047584,9,1:46.277,1,sprint_results.csv
137,1101,846,1,4,10,17,17,17,0,17,+51.104,2048771,15,1:44.484,1,sprint_results.csv
138,1101,839,214,31,0,18,18,18,0,17,+1:00.621,2058288,15,1:45.090,1,sprint_results.csv
139,1101,852,213,22,16,\N,R,19,0,2,\N,\N,\N,\N,130,sprint_results.csv
140,1101,858,3,2,0,\N,W,20,0,0,\N,\N,\N,\N,3,sprint_results.csv
