driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
111,23,16,0.0,22,22,0,driver_standings.csv
112,23,20,4.0,12,12,0,driver_standings.csv
113,24,1,38.0,2,2,2,driver_standings.csv
114,24,2,28.0,5,5,0,driver_standings.csv
115,24,3,8.0,10,10,0,driver_standings.csv
116,24,4,9.0,9,9,0,driver_standings.csv
117,24,5,15.0,6,6,0,driver_standings.csv
118,24,6,7.0,11,11,0,driver_standings.csv
119,24,7,2.0,17,17,0,driver_standings.csv
120,24,8,35.0,4,4,2,driver_standings.csv
121,24,9,42.0,1,1,1,driver_standings.csv
122,24,15,12.0,8,8,0,driver_standings.csv
123,24,17,15.0,7,7,0,driver_standings.csv
124,24,14,6.0,12,12,0,driver_standings.csv
125,24,18,3.0,16,16,0,driver_standings.csv
126,24,12,0.0,19,19,0,driver_standings.csv
127,24,21,0.0,18,18,0,driver_standings.csv
128,24,22,5.0,15,15,0,driver_standings.csv
129,24,19,0.0,21,21,0,driver_standings.csv
130,24,11,0.0,20,20,0,driver_standings.csv
131,24,13,38.0,3,3,2,driver_standings.csv
132,24,10,5.0,13,13,0,driver_standings.csv
133,24,16,0.0,22,22,0,driver_standings.csv
134,24,20,5.0,14,14,0,driver_standings.csv
135,25,1,38.0,4,4,2,driver_standings.csv
136,25,2,28.0,5,5,0,driver_standings.csv
137,25,3,8.0,10,10,0,driver_standings.csv
138,25,4,10.0,9,9,0,driver_standings.csv
139,25,5,20.0,6,6,0,driver_standings.csv
140,25,6,7.0,11,11,0,driver_standings.csv
141,25,7,2.0,18,18,0,driver_standings.csv
142,25,8,43.0,3,3,2,driver_standings.csv
143,25,9,46.0,2,2,1,driver_standings.csv
144,25,15,18.0,7,7,0,driver_standings.csv
145,25,17,18.0,8,8,0,driver_standings.csv
146,25,14,6.0,12,12,0,driver_standings.csv
147,25,18,3.0,16,16,0,driver_standings.csv
148,25,12,2.0,17,17,0,driver_standings.csv
149,25,21,0.0,19,19,0,driver_standings.csv
150,25,22,5.0,15,15,0,driver_standings.csv
151,25,19,0.0,21,21,0,driver_standings.csv
152,25,11,0.0,20,20,0,driver_standings.csv
153,25,13,48.0,1,1,3,driver_standings.csv
154,25,10,5.0,13,13,0,driver_standings.csv
155,25,16,0.0,22,22,0,driver_standings.csv
156,25,20,5.0,14,14,0,driver_standings.csv
157,26,1,48.0,1,1,3,driver_standings.csv
158,26,2,36.0,5,5,0,driver_standings.csv
159,26,3,8.0,11,11,0,driver_standings.csv
160,26,4,13.0,9,9,0,driver_standings.csv
161,26,5,24.0,6,6,0,driver_standings.csv
162,26,6,8.0,12,12,0,driver_standings.csv
163,26,7,2.0,17,17,0,driver_standings.csv
164,26,8,48.0,3,3,2,driver_standings.csv
165,26,9,46.0,4,4,1,driver_standings.csv
166,26,15,20.0,7,7,0,driver_standings.csv
167,26,17,18.0,8,8,0,driver_standings.csv
168,26,14,6.0,13,13,0,driver_standings.csv
169,26,18,3.0,16,16,0,driver_standings.csv
170,26,12,2.0,18,18,0,driver_standings.csv
171,26,21,0.0,19,19,0,driver_standings.csv
172,26,22,11.0,10,10,0,driver_standings.csv
173,26,19,0.0,21,21,0,driver_standings.csv
174,26,11,0.0,20,20,0,driver_standings.csv
175,26,13,48.0,2,2,3,driver_standings.csv
176,26,10,5.0,14,14,0,driver_standings.csv
177,26,16,0.0,22,22,0,driver_standings.csv
178,26,20,5.0,15,15,0,driver_standings.csv
179,27,1,58.0,1,1,4,driver_standings.csv
180,27,2,41.0,5,5,0,driver_standings.csv
181,27,3,8.0,12,12,0,driver_standings.csv
182,27,4,13.0,9,9,0,driver_standings.csv
183,27,5,28.0,6,6,0,driver_standings.csv
184,27,6,8.0,13,13,0,driver_standings.csv
185,27,7,2.0,18,18,0,driver_standings.csv
186,27,8,51.0,3,3,2,driver_standings.csv
187,27,9,48.0,4,4,1,driver_standings.csv
188,27,15,20.0,7,7,0,driver_standings.csv
189,27,17,18.0,8,8,0,driver_standings.csv
190,27,14,6.0,14,14,0,driver_standings.csv
191,27,18,3.0,17,17,0,driver_standings.csv
192,27,12,10.0,11,11,0,driver_standings.csv
193,27,21,0.0,19,19,0,driver_standings.csv
194,27,22,11.0,10,10,0,driver_standings.csv
195,27,19,0.0,22,22,0,driver_standings.csv
196,27,11,0.0,20,20,0,driver_standings.csv
197,27,13,54.0,2,2,3,driver_standings.csv
198,27,10,5.0,16,16,0,driver_standings.csv
199,27,16,0.0,21,21,0,driver_standings.csv
200,27,20,6.0,15,15,0,driver_standings.csv
201,28,1,62.0,1,1,4,driver_standings.csv
202,28,2,41.0,5,5,0,driver_standings.csv
